node_id,price_dp,geometry
12TH_S_LNODENMZ,54.65943,POINT (-120.99316020050249 37.63715677998629)
12TH_S_LNODEXWQ,54.65943,POINT (-120.99327439949751 37.63715677998629)
8TH_ST_LNODEBXG,54.65396,POINT (-121.00603849646912 37.64197726998626)
8TH_ST_LNODELZF,54.65396,POINT (-121.00615270353089 37.64197726998626)
AEC300_1_N001,18.0,POINT (-121.48 37.74)
AGNEW_1_N003,57.51665,POINT (-121.84 37.51)
AIRPROD_1_N001,56.6354,POINT (-119.54 36.65)
AIR_SUB_LNODENAA,52.62872,POINT (-118.376 33.96205409081493)
AIR_SUB_LNODENAB,52.62872,POINT (-118.37594352117388 33.961972954579615)
AIR_SUB_LNODEONC,52.62872,POINT (-118.37605647882611 33.961972954579615)
ALAMITOS_2_N001,53.6906,POINT (-118.100596 33.771584)
ALAMITOS_2_N040,53.6906,POINT (-118.1 33.77)
ALAMT1G_7_N002,53.6906,POINT (-118.1004877514908 33.77149401717401)
ALAMT2G_7_N002,53.6906,POINT (-118.10067098425147 33.771415173499584)
ALAMT3G_7_N002,53.6906,POINT (-118.10077253262283 33.77144633917227)
ALAMT4G_7_N002,53.6906,POINT (-118.10084659342048 33.771511965310076)
ALAMT5G_7_N002,53.6906,POINT (-118.1008819712055 33.771597006833865)
ALAMT6G_7_N002,53.6906,POINT (-118.10083231072662 33.77176916262267)
ALHAMBRA_1_N001,55.3491,POINT (-122.13031167024367 37.99408499998608)
ALHAMBRA_1_N002,55.3491,POINT (-122.13042632975633 37.99408499998608)
ALLEGHNY_6_N001,54.88932,POINT (-120.844946 39.464893)
ALMADEN_6_N001,57.41813,POINT (-121.890082 37.26027)
ALMOND_LNODEAUX,54.30912,POINT (-120.98511610244 37.574202045609525)
ALPAUGH_7_N002,52.02115,POINT (-119.456796 35.963463732836644)
ALPINE_6_N001,20.67,POINT (-116.78987271391081 32.82778299998866)
ALPINE_6_N005,20.67,POINT (-116.78997928608918 32.82778299998866)
ALTO_6_N001,56.25772,POINT (-122.52430271885964 37.89825299998615)
ALTO_6_N101,56.25772,POINT (-122.52441728114036 37.89825299998615)
ALTTA_BP_LNODEPRT,52.62325,POINT (-120.5236838478691 41.51205899998436)
ALTTA_BP_LNODETON,52.62325,POINT (-120.5238041521309 41.51205899998436)
AMERIGAS_1_N001,54.21607,POINT (-121.79 38.43)
AMESBS_1_N004,56.69014,POINT (-122.066192 37.41751022008469)
AMESBS_1_N101,56.69014,POINT (-122.06613287861066 37.41742888994297)
AMESDST_1_N001,56.69014,POINT (-122.06625112138934 37.41742888994297)
AMFORST_6_N001,56.50779,POINT (-120.79657754861613 38.369191999986)
ANDERSON_6_N001,53.72344,POINT (-122.305068 40.449838)
ANGIOLA_6_N001,56.81056,POINT (-119.57137 35.992007)
ANITA_6_N001,53.31292,POINT (-121.919761 39.811047)
ANNAPOLS_6_N001,60.18338,POINT (-123.311782 38.680315)
ANTELOPE_6_N001,52.27841,POINT (-119.996015 35.658117)
ANTLER_6_N001,53.43334,POINT (-122.379244 40.893581)
APPLEHL_1_N001,54.99332,POINT (-120.67700091995808 38.73992576174639)
APPLEHL_1_N002,54.99332,POINT (-120.67700092024737 38.73974623814083)
APPMAT_1_N001,56.98024,POINT (-121.97994317305394 37.359999999986435)
APPMAT_1_N010,56.98024,POINT (-121.98005682694607 37.359999999986435)
ARBUCKLE_6_N001,53.09068,POINT (-122.061575 39.017625)
ARCATA_6_N001,67.56998,POINT (-124.088286 40.867132)
ARVINED_1_N001,52.25652,POINT (-118.87870286987292 35.15044599998752)
ARVIN_6_N001,328.23,POINT (-118.87881313012709 35.15044599998752)
ASHLAN_2_N001,55.89099,POINT (-119.82749 36.79263892472445)
ASHLAN_2_N007,55.89099,POINT (-119.82743168375806 36.7925580376235)
ASHLAN_2_N008,55.89099,POINT (-119.82754831624194 36.7925580376235)
ASH_6_N001,53.78365,POINT (-117.070292 33.1365697302963)
ASH_6_N005,53.78365,POINT (-117.0702364310647 33.13648913483958)
ASH_6_N101,53.78365,POINT (-117.07034756893529 33.13648913483958)
ASPEN_LNODESPEN,51.00306,POINT (-122.069288 37.69337956)
ATASCDRO_6_N001,53.74534,POINT (-120.671582 35.465309)
ATWATER_1_B2,56.46025,POINT (-120.6146481730584 37.35999599998639)
ATWATER_1_N001,56.46025,POINT (-120.6147618269416 37.35999599998639)
ATW_SUB_LNODEONB,52.62872,POINT (-118.254 34.1096541600031)
ATW_SUB_LNODEONC,52.62872,POINT (-118.25394335044959 34.10957291998536)
ATW_SUB_LNODEOND,52.62872,POINT (-118.2540566495504 34.10957291998536)
AUBERRY_6_N001,56.5314,POINT (-119.495719527536 37.06806099998665)
AUBERRY_6_N003,56.5314,POINT (-119.495832472464 37.06806099998665)
AUBURN_6_N001,55.08637,POINT (-121.069921 38.903397)
AUGUST_LNODEDR1,54.43501,POINT (-120.831252690486 37.4182520696912)
AUGUST_LNODEDR3,54.43501,POINT (-120.831131410372 37.4182452743243)
AUGUST_LNODEDR4,54.45143,POINT (-120.830989786937 37.4182458785436)
AUGUST_LNODEDR5,54.43501,POINT (-120.831363604619 37.4182557186304)
AVENA_1_N001,45.72152,POINT (-121.054122 37.842208)
AVOCADO_6_N001,56.10994,POINT (-117.23692330729693 33.38466699998843)
AVOCADO_6_N002,56.10994,POINT (-117.23703069270306 33.38466699998843)
BAFOOD1_6_N001,54.30365,POINT (-121.16 36.33)
BAHIA_2_N001,55.20679,POINT (-122.13739126700075 38.08095331088854)
BAHIA_2_N011,55.20679,POINT (-122.13739126728416 38.08077268899996)
BAILYJ1_1_N010,55.43121,POINT (-118.77504 34.77604)
BAIR_1_N001,57.19371,POINT (-122.214157 37.496937)
BAKER_1_N001,51.94452,POINT (-116.064256 35.284771)
BALFOUR_6_N001,54.68132,POINT (-121.678546 37.92596)
BANGOR_6_N001,54.61017,POINT (-121.402937 39.388064)
BANGS_LNODEKGC,54.6868,POINT (-121.0418 37.70469)
BANNING_1_N001,53.57566,POINT (-116.87283 33.922289)
BANTA_6_N001,50.13198,POINT (-121.35057581075783 37.7528989999862)
BARRETT_6_N001,32.84416,POINT (-116.700208 32.667194)
BARRE_6_N001,53.94239,POINT (-117.98332966316445 33.80900298319592)
BARRE_6_N002,53.94239,POINT (-117.98354633683554 33.80900298319592)
BARRE_6_N003,53.95334,POINT (-117.9835463370635 33.80918301670945)
BARRY_6_N001,54.77985,POINT (-121.690208 39.069323)
BARTON_1_N001,56.24678,POINT (-119.735935 36.76408490976673)
BARTON_1_N007,56.24678,POINT (-119.73587672164825 36.76400404510246)
BARTON_1_N008,56.24678,POINT (-119.73599327835174 36.76400404510246)
BASALT_6_N002,54.69775,POINT (-122.26916657483297 38.26328599998595)
BASALT_6_N101,54.69775,POINT (-122.26928142516702 38.26328599998595)
BATAVIA_6_N001,54.41859,POINT (-121.77570654480984 38.385820999985995)
BATIQTOS_1_N001,54.16681,POINT (-117.250399 33.1011727252775)
BATIQTOS_1_N008,54.16681,POINT (-117.25034345864424 33.101092137348985)
BATIQTOS_1_N015,54.16681,POINT (-117.25045454135577 33.101092137348985)
BAYMDWS_1_N001,56.85982,POINT (-122.29307795256243 37.55162541726735)
BAYMDWS_1_N004,56.85982,POINT (-122.29307795283914 37.551444582623034)
BAYMDWS_1_N008,56.85982,POINT (-122.29330604716085 37.551444582623034)
BAYMDWS_1_N012,56.85982,POINT (-122.29330604743757 37.55162541726735)
BAYSHOR1_1_N001,57.50571,POINT (-122.40302381566526 37.74603599998622)
