node_id,lon,lat,2026-05-05 21:00:00,2026-05-05 20:00:00,2026-05-05 19:00:00,2026-05-05 18:00:00,2026-05-05 17:00:00,2026-05-05 16:00:00,2026-05-05 15:00:00,2026-05-05 14:00:00,2026-05-05 13:00:00,2026-05-05 12:00:00,2026-05-05 11:00:00,2026-05-05 10:00:00,2026-05-05 09:00:00,2026-05-05 08:00:00,2026-05-05 07:00:00,2026-05-05 06:00:00,2026-05-05 05:00:00,2026-05-05 04:00:00,2026-05-05 03:00:00,2026-05-05 02:00:00,2026-05-05 00:00:00,2026-05-04 23:00:00,2026-05-04 22:00:00
0096WD_7_N002,-119.13131516955065,35.440039999987434,27.58448,27.46273,18.26989,4.33078,2.40497,0.67278,-0.00308,0.38738,1.69556,4.3892,11.34468,16.57992,17.19445,19.11629,25.9749,27.83223,26.83916,25.83499,26.62598,27.30014,32.58959,33.33803,33.71335
3EMIDIO_6_N001,-119.0626791,35.02051774,27.66846,27.5809,18.34158,4.32432,2.40163,0.68928,0.00788,0.42104,1.73588,4.45621,11.47288,16.77109,17.33551,19.28568,25.88516,27.89717,26.86092,25.85069,26.6098,27.38593,32.77074,33.48675,33.81261
3EMIDIO_6_N002,-119.06256889029795,35.02051773995017,27.66846,27.5809,18.34158,4.32432,2.40163,0.68928,0.00788,0.42104,1.73588,4.45621,11.47288,16.77109,17.33551,19.28568,25.88516,27.89717,26.86092,25.85069,26.6098,27.38593,32.77074,33.48675,33.81261
3EMIDIO_6_N003,-119.0626791,35.02042748414004,27.66846,27.5809,18.34158,4.32432,2.40163,0.68928,0.00788,0.42104,1.73588,4.45621,11.47288,16.77109,17.33551,19.28568,25.88516,27.89717,26.86092,25.85069,26.6098,27.38593,32.77074,33.48675,33.81261
4C744C12_7_N002,-118.86084971115427,35.24735999994994,27.66006,27.53025,18.10604,4.29101,2.37642,0.65121,-0.01721,0.35986,1.67389,4.38643,11.3737,16.55106,17.24502,19.06764,25.99337,27.87741,26.87724,25.86116,26.65565,27.37486,32.67522,33.43943,33.80919
4C744C32_7_N002,-118.86107028884572,35.24735999994994,27.66006,27.53588,18.08146,4.29698,2.38219,0.65627,-0.0139,0.36634,1.67956,4.40194,11.39709,16.56549,17.24502,19.07485,25.99337,27.87741,26.87724,25.86378,26.65565,27.37486,32.67852,33.43943,33.81261
A100US_1_B1,-122.1166769,37.62510247,29.21944,29.54796,23.77503,16.21424,12.80232,12.95372,9.14621,13.23455,14.62528,19.20978,23.4707,29.98849,31.80441,28.17976,27.67471,29.37391,28.22668,26.99717,27.92856,28.66722,33.34711,34.57515,35.1784
ACTONSC_6_N001,-118.199383,34.510158,27.62087,27.6372,18.7653,-1.99434,-2.59223,-2.78068,-2.57904,-2.67443,-2.499,-1.92885,-1.80383,-0.37399,0.72052,14.32621,25.82181,27.79552,26.82827,25.89257,26.59632,27.30291,33.04081,33.7166,34.03511
ADLNTO_LNODEDC1LADWP,-117.44,34.55,28.01001,28.15642,20.47361,-0.72299,-1.71351,-1.9354,-2.01663,-1.72995,-1.56283,-1.60092,-0.4212,-0.42653,3.37345,16.12805,26.38138,28.30095,27.29078,26.25641,27.05208,27.75399,33.07045,34.21348,34.30895
ADLNTO_LNODEDC2GLEN,-117.43989019738174,34.54999999995084,28.01001,28.15642,20.47361,-0.72299,-1.71351,-1.9354,-2.01663,-1.72995,-1.56283,-1.60092,-0.4212,-0.42653,3.37345,16.12805,26.38138,28.30095,27.29078,26.25641,27.05208,27.75399,33.07045,34.21348,34.30895
