oasis_node,caiso_matches
AFTON_3_AFTONCC-APND,[]
AGRICO_6_PL3N5-APND,"['AGRICO_7_B1', 'AGRICO_7_B3', 'AGRICO_7_B4']"
AGRICO_7_UNIT-APND,"['AGRICO_7_B1', 'AGRICO_7_B3', 'AGRICO_7_B4']"
ALAMIT_2_PL1X3-APND,[]
ALF_1_ALBENI_F_PLANT-APND,[]
ANTLPE_2_QF-APND,[]
APXGS_5_CC-APND,[]
AQUAWS_2_AQWSR1-APND,[]
ATHOS_5_AP1X2-APND,[]
ATHOS_5_AP2X2-APND,[]
AVA_AVA.AVRN-APND,[]
AVA_AVA.BPAT-APND,[]
AVA_AVA.COLSTRIP-APND,[]
AVA_AVAT.NWMT-APND,[]
AVA_COYSPR2-APND,[]
AVA_DRYCREEK-APND,[]
AVA_LOLO-APND,[]
AVA_MAINCANALGEN-APND,[]
AVA_MIDC.AV-APND,[]
AVA_MIDCREMOTE-APND,[]
AVA_POPD-APND,[]
AVA_WALLAWALLA-APND,[]
AVRN_AVA.AVRN-APND,[]
AVRN_BPAT.AVRN-APND,[]
AVRN_KFALLSGEN.AVRN-APND,[]
AVRN_KFALLSGENAVRN-APND,[]
AVRN_MSS_COLUMB-APND,[]
AVRN_MSS_KLICK-APND,[]
AVRN_MSS_WASCO-APND,[]
AZPS_BUCKEYE230-APND,[]
AZPS_CHOLLA500_SRP-APND,[]
AZPS_DESERTBASIN-APND,[]
AZPS_FOURCORNE345_AZPS-APND,[]
AZPS_FOURCORNE345_PNM-APND,[]
AZPS_FOURCORNE345_TEPC-APND,[]
AZPS_FOURCORNE500_AZPS-APND,[]
AZPS_FOURCORNE500_TEPC-APND,[]
AZPS_GILA69-APND,[]
AZPS_GILARIVER500-APND,[]
AZPS_JOJOBA500-APND,[]
AZPS_KNOX230-APND,[]
AZPS_KYRENE230-APND,[]
AZPS_LIBERTY230-APND,[]
AZPS_MEAD5MSCHD-APND,[]
AZPS_NAVAJO-APND,[]
AZPS_NECLOAD-APND,[]
AZPS_NRTHGILA69-APND,[]
AZPS_ORACLE115-APND,[]
AZPS_PALOVERDE500-APND,[]
AZPS_PALOVERDE500_EPE-APND,[]
AZPS_PANDA230-APND,[]
AZPS_PARKER230-APND,[]
AZPS_PINPKAPS230_SRP-APND,[]
AZPS_PINPKAPS230_WALC-APND,[]
AZPS_PINPKSRP230_SRP-APND,[]
AZPS_PINT-APND,[]
AZPS_PNPKWALC230-APND,[]
AZPS_RACEWAY230-APND,[]
AZPS_RUDD230-APND,[]
AZPS_SADLBROKRNCH-APND,[]
AZPS_SAGUARO115-APND,[]
AZPS_SAGUARO500-APND,[]
AZPS_SANTAROSA230-APND,[]
AZPS_SUGARLOAF500-APND,[]
AZPS_SUNDANCE-APND,[]
AZPS_SUNVALLEY230-APND,[]
AZPS_SWAZSYS-APND,[]
AZPS_TESTTRACK230-APND,[]
AZPS_WALC.SYS-APND,[]
AZPS_WESTWING230_SRP-APND,[]
AZPS_WESTWING230_WALC-APND,[]
AZPS_WESTWING500_SRP-APND,[]
AZPS_WESTWING500_TEPC-APND,[]
AZPS_WESTWING500_WALC-APND,[]
BANC_CAPTAINJACK-APND,[]
BANC_WESTLEY-APND,[]
BCHA_5_PWXAPR-APND,[]
BCHA_5_PWXAVR-APND,[]
BCHA_5_PWXNPR1-APND,[]
BCHA_5_PWXNPR2-APND,[]
BCHA_5_PWXNPR3-APND,[]
BCHA_5_PWXNPR4-APND,[]
BCHA_5_PWXNPR5-APND,[]
BCHA_5_PWXNPR6-APND,[]
BCHA_5_PWXNPR7-APND,[]
BCHA_5_PWXNPR8-APND,[]
BCHA_BC.US.BORDER-APND,[]
BCHA_BCUS.BORDER-APND,[]
BCNPPS1_2_BATTERY-APND,[]
BCNPPS1_2_SOLAR-APND,[]
BCNPPS2_2_SOLAR-APND,[]
BCNPPS3_2_SOLAR-APND,[]
BCNPPS4_2_SOLAR-APND,[]
BCNPPS5_2_SOLAR-APND,[]
BELLEF_2_BSFBX3-APND,[]
BELLEF_2_BSFSX3-APND,[]
BGROCK_2_BRFBX2-APND,[]
BIGCRK_2_EXESWD-APND,[]
BLKCRK_2_GMCBT1-APND,"['TOT223G_7_NT1A', 'TOT223G_7_NT1B']"
BLKCRK_2_SOLAR1-APND,"['TOT223G_7_NT1A', 'TOT223G_7_NT1B']"
BLK_EGL_7_BEGL-APND,[]
BLM_2_UNITS-APND,[]
BOKS_1_SOLAR-APND,[]
BOX_CNYN_1_GEN_TOTAL-APND,[]
BPAT_AVA.BPAT-APND,[]
BPAT_BC.US.BORDER-APND,[]
BPAT_BOUNDARY-APND,[]
BPAT_BPAT.AVRN-APND,[]
BPAT_BPAT.NWMT-APND,[]
BPAT_BPAT.PACW-APND,[]
BPAT_BPAT.PGE-APND,[]
BPAT_BPAT.PSEI-APND,[]
BPAT_BPAT.SCL-APND,[]
BPAT_BPAT.TPU-APND,[]
BPAT_CAPTAINJACK-APND,[]
BPAT_COBH-APND,[]
BPAT_COYSPR2-APND,[]
BPAT_GARRISON-APND,[]
BPAT_GRIZZLY-APND,[]
BPAT_HILLTOP345-APND,[]
BPAT_JOHNDAY-APND,[]
BPAT_KFALLSGEN-APND,[]
BPAT_KFALLSGEN.AVRN-APND,[]
BPAT_LAGRANDE-APND,[]
BPAT_MALIN-APND,[]
BPAT_MALIN230-APND,[]
BPAT_MCNARY-APND,[]
BPAT_MIDCREMOTE-APND,[]
BPAT_MINTFARM-APND,[]
BPAT_MSS_COLUMB-APND,[]
BPAT_MSS_KLICK-APND,[]
BPAT_MSS_WASCO-APND,[]
BPAT_NOB.LDWP-APND,[]
BPAT_POPD-APND,[]
BRODIE_2_WIND-APND,[]
BRP1_2_BEAVER1-7-APND,[]
BST_1_17900_ANT_BST-APND,[]
BUCKBL_2_PL1X3-APND,[]
BUCKCK_7_PL1X2-APND,"['BCKSCRK_7_B2', 'BCKSCRK_7_B3', 'BCKSCRK_7_N002']"
BZ_7_STZ-TRPG-APND,[]
CALGEN_1_UNITS-APND,[]
CAMCHE_1_PL1X3-APND,"['CAMANCHE_7_N001', 'CAMANCHE_7_N002', 'CAMANCHE_7_N003']"
CANFERRY_1_CYFY-APND,[]
