oasis_node,caiso_matches,lat/lon
AGRICO_6_PL3N5-APND,"['AGRICO_7_B1', 'AGRICO_7_B3', 'AGRICO_7_B4']","[[36.61707583794443, -120.099846], [36.6169950810137, -120.09978791045371], [36.6169950810137, -120.09990408954629]]"
AGRICO_7_UNIT-APND,"['AGRICO_7_B1', 'AGRICO_7_B3', 'AGRICO_7_B4']","[[36.61707583794443, -120.099846], [36.6169950810137, -120.09978791045371], [36.6169950810137, -120.09990408954629]]"
BLKCRK_2_GMCBT1-APND,"['TOT223G_7_NT1A', 'TOT223G_7_NT1B']","[[33.70312399998822, -114.76486195604213], [33.70312399998822, -114.76497004395787]]"
BLKCRK_2_SOLAR1-APND,"['TOT223G_7_NT1A', 'TOT223G_7_NT1B']","[[33.70312399998822, -114.76486195604213], [33.70312399998822, -114.76497004395787]]"
BUCKCK_7_PL1X2-APND,"['BCKSCRK_7_B2', 'BCKSCRK_7_B3', 'BCKSCRK_7_N002']","[[39.91061999998525, -121.32763342860044], [39.91061999998525, -121.32775057139956], [40.07531, -121.16143]]"
CAMCHE_1_PL1X3-APND,"['CAMANCHE_7_N001', 'CAMANCHE_7_N002', 'CAMANCHE_7_N003']","[[38.226854124077015, -121.0245], [38.22677293794635, -121.02444033255529], [38.22677293794635, -121.0245596674447]]"
CARBOU_7_PL2X3-APND,"['CARABOU_7_B1', 'CARABOU_7_B3']","[[40.08553000636179, -121.148241], [40.08544899680309, -121.14830213161764]]"
CARBOU_7_PL4X5-APND,"['CRBU38812_7_B1', 'CRBU38812_7_B3']","[[40.069999999985214, -121.14994119857616], [40.069999999985214, -121.15005880142382]]"
CENTRY_6_PL1X4-APND,"['AGUAMNSA_7_B1', 'CENTURY_7_B1', 'CENTURY_7_B3', 'CENTURY_7_B4', 'CENTURY_7_B5', 'DREWSG12_7_B1', 'DREWSG12_7_B3', 'DREWSG34_7_B1', 'DREWSG34_7_B3', 'VSTA_6_N001', 'VSTA_6_N008']","[[34.042605, -117.362707], [34.06069023060133, -117.35319108429329], [34.06050976930267, -117.3531910845252], [34.06050976930267, -117.3534089154748], [34.06069023060133, -117.35340891570672], [34.060990230829425, -117.35309108363238], [34.06080976907458, -117.3530910838643], [34.06080976907458, -117.3533089161357], [34.060990230829425, -117.3533089163676], [34.04125299995202, -117.32083587276313], [34.04134321575355, -117.320727]]"
CLAP_CMS1-APND,"['COPPERMT_6_GN001', 'COPPERMT_7_N002']","[[35.7814, -114.9933], [35.7881, -114.9933]]"
CLAP_CMS2-APND,['LSCM92_7_N005'],"[[35.786389, -114.962778]]"
CLAP_CPVERD-APND,['C590M1_7_N004'],"[[32.753333, -115.726389]]"
CLAP_CSLR4S-APND,['Q510_7_N005'],"[[32.6645, -115.6739]]"
CLAP_GENE_INTAKE-APND,['GENE_2_N001'],"[[34.3, -114.23]]"
CLAP_HWP1-APND,['MCSNCK1_7_B1'],"[[37.53549999998638, -121.85614999142506]]"
CLAP_HWP2-APND,"['HOLM1_7_B1', 'HOLM2_7_B1', 'KIRKWD1_7_B1', 'KIRKWD2_7_B1', 'KIRKWD3_7_B1']","[[37.83, -119.99], [37.86, -120.0], [37.87772124498671, -119.953233], [37.877639877491646, -119.9531734838176], [37.877639877491646, -119.9532925161824]]"
CLAP_IRONMTN-APND,['IRONMTN_2_N001'],"[[34.16, -115.12]]"
CLAP_IVSLRP-APND,['IVSOLARS_7_N007'],"[[32.671389, -114.413333]]"
