node_id,lat,lon,type,area,price_dp,geometry
12TH_S_LNODENMZ,37.63715677998629,-120.99316020050249,LOAD,BANC,59.71242,POINT (-120.99316020050249 37.63715677998629)
12TH_S_LNODEXWQ,37.63715677998629,-120.99327439949751,LOAD,BANC,59.71242,POINT (-120.99327439949751 37.63715677998629)
8TH_ST_LNODEBXG,37.64197726998626,-121.00603849646912,LOAD,BANC,59.70027,POINT (-121.00603849646912 37.64197726998626)
8TH_ST_LNODELZF,37.64197726998626,-121.00615270353089,LOAD,BANC,59.70027,POINT (-121.00615270353089 37.64197726998626)
AEC300_1_N001,37.74,-121.48,LOAD,CA,58.80936,POINT (-121.48 37.74)
AGNEW_1_N003,37.51,-121.84,LOAD,CA,61.96144,POINT (-121.84 37.51)
AIRPROD_1_N001,36.65,-119.54,LOAD,CA,67.41808,POINT (-119.54 36.65)
AIR_SUB_LNODENAA,33.96205409081493,-118.376,LOAD,LADWP,59.49971,POINT (-118.376 33.96205409081493)
AIR_SUB_LNODENAB,33.961972954579615,-118.37594352117388,LOAD,LADWP,59.49363,POINT (-118.37594352117388 33.961972954579615)
AIR_SUB_LNODEONC,33.961972954579615,-118.37605647882611,LOAD,LADWP,59.49971,POINT (-118.37605647882611 33.961972954579615)
ALAMITOS_2_N001,33.771584,-118.100596,LOAD,CA,60.5329,POINT (-118.100596 33.771584)
ALAMITOS_2_N040,33.77,-118.1,LOAD,CA,60.5329,POINT (-118.1 33.77)
ALAMT1G_7_N002,33.77149401717401,-118.1004877514908,LOAD,CA,60.5329,POINT (-118.1004877514908 33.77149401717401)
ALAMT2G_7_N002,33.771415173499584,-118.10067098425147,LOAD,CA,60.5329,POINT (-118.10067098425147 33.771415173499584)
ALAMT3G_7_N002,33.77144633917227,-118.10077253262283,LOAD,CA,60.5329,POINT (-118.10077253262283 33.77144633917227)
ALAMT4G_7_N002,33.771511965310076,-118.10084659342048,LOAD,CA,60.5329,POINT (-118.10084659342048 33.771511965310076)
ALAMT5G_7_N002,33.771597006833865,-118.1008819712055,LOAD,CA,60.5329,POINT (-118.1008819712055 33.771597006833865)
