,DATA_ITEM,OPR_DATE,INTERVAL_NUM,INTERVAL_START_GMT,INTERVAL_END_GMT,VALUE,TRADING_HUB,RENEWABLE_TYPE
0,RENEW_FCST_DA_MW,2025-09-09,1,2025-09-09T07:00:00-00:00,2025-09-09T08:00:00-00:00,0,NP15,Solar
1,RENEW_FCST_DA_MW,2025-09-09,2,2025-09-09T08:00:00-00:00,2025-09-09T09:00:00-00:00,0,NP15,Solar
2,RENEW_FCST_DA_MW,2025-09-09,3,2025-09-09T09:00:00-00:00,2025-09-09T10:00:00-00:00,0,NP15,Solar
3,RENEW_FCST_DA_MW,2025-09-09,4,2025-09-09T10:00:00-00:00,2025-09-09T11:00:00-00:00,0,NP15,Solar
4,RENEW_FCST_DA_MW,2025-09-09,5,2025-09-09T11:00:00-00:00,2025-09-09T12:00:00-00:00,0,NP15,Solar
5,RENEW_FCST_DA_MW,2025-09-09,6,2025-09-09T12:00:00-00:00,2025-09-09T13:00:00-00:00,0,NP15,Solar
6,RENEW_FCST_DA_MW,2025-09-09,7,2025-09-09T13:00:00-00:00,2025-09-09T14:00:00-00:00,8.05,NP15,Solar
7,RENEW_FCST_DA_MW,2025-09-09,8,2025-09-09T14:00:00-00:00,2025-09-09T15:00:00-00:00,552.39,NP15,Solar
8,RENEW_FCST_DA_MW,2025-09-09,9,2025-09-09T15:00:00-00:00,2025-09-09T16:00:00-00:00,1492.51,NP15,Solar
9,RENEW_FCST_DA_MW,2025-09-09,10,2025-09-09T16:00:00-00:00,2025-09-09T17:00:00-00:00,1947.27,NP15,Solar
10,RENEW_FCST_DA_MW,2025-09-09,11,2025-09-09T17:00:00-00:00,2025-09-09T18:00:00-00:00,2055.24,NP15,Solar
11,RENEW_FCST_DA_MW,2025-09-09,12,2025-09-09T18:00:00-00:00,2025-09-09T19:00:00-00:00,2086.41,NP15,Solar
12,RENEW_FCST_DA_MW,2025-09-09,13,2025-09-09T19:00:00-00:00,2025-09-09T20:00:00-00:00,2059.5,NP15,Solar
13,RENEW_FCST_DA_MW,2025-09-09,14,2025-09-09T20:00:00-00:00,2025-09-09T21:00:00-00:00,2024.78,NP15,Solar
14,RENEW_FCST_DA_MW,2025-09-09,15,2025-09-09T21:00:00-00:00,2025-09-09T22:00:00-00:00,1962.5,NP15,Solar
15,RENEW_FCST_DA_MW,2025-09-09,16,2025-09-09T22:00:00-00:00,2025-09-09T23:00:00-00:00,1859.22,NP15,Solar
16,RENEW_FCST_DA_MW,2025-09-09,17,2025-09-09T23:00:00-00:00,2025-09-10T00:00:00-00:00,1679.82,NP15,Solar
17,RENEW_FCST_DA_MW,2025-09-09,18,2025-09-10T00:00:00-00:00,2025-09-10T01:00:00-00:00,1196.92,NP15,Solar
18,RENEW_FCST_DA_MW,2025-09-09,19,2025-09-10T01:00:00-00:00,2025-09-10T02:00:00-00:00,402.46,NP15,Solar
19,RENEW_FCST_DA_MW,2025-09-09,20,2025-09-10T02:00:00-00:00,2025-09-10T03:00:00-00:00,2.17,NP15,Solar
20,RENEW_FCST_DA_MW,2025-09-09,21,2025-09-10T03:00:00-00:00,2025-09-10T04:00:00-00:00,0,NP15,Solar
21,RENEW_FCST_DA_MW,2025-09-09,22,2025-09-10T04:00:00-00:00,2025-09-10T05:00:00-00:00,0,NP15,Solar
22,RENEW_FCST_DA_MW,2025-09-09,23,2025-09-10T05:00:00-00:00,2025-09-10T06:00:00-00:00,0,NP15,Solar
23,RENEW_FCST_DA_MW,2025-09-09,24,2025-09-10T06:00:00-00:00,2025-09-10T07:00:00-00:00,0,NP15,Solar
24,RENEW_FCST_DA_MW,2025-09-09,1,2025-09-09T07:00:00-00:00,2025-09-09T08:00:00-00:00,301.57,NP15,Wind
25,RENEW_FCST_DA_MW,2025-09-09,24,2025-09-10T06:00:00-00:00,2025-09-10T07:00:00-00:00,513.56,NP15,Wind
26,RENEW_FCST_DA_MW,2025-09-09,3,2025-09-09T09:00:00-00:00,2025-09-09T10:00:00-00:00,169.28,NP15,Wind
27,RENEW_FCST_DA_MW,2025-09-09,4,2025-09-09T10:00:00-00:00,2025-09-09T11:00:00-00:00,144.36,NP15,Wind
28,RENEW_FCST_DA_MW,2025-09-09,5,2025-09-09T11:00:00-00:00,2025-09-09T12:00:00-00:00,134.54,NP15,Wind
